Model,Metric
GradientBoosting,0.839729862253748
RandomForest,0.8381740120099817
HistGradientBoosting,0.8309515233025337
XGBoost,0.8260504230636959
GradientBoosting_ts,0.8176575569213013
RandomForest_ts,0.8078088739948639
HistGradientBoosting_ts,0.799079249038327
XGBoost_ts,0.7960005776383428
AdaBoost,0.73748934588355
AdaBoost_ts,0.7364428656491413
mlp,0.6278659748193273
mlp_ts,0.565175234237756
Lasso_0.1_ts,0.43559312448176113
Lasso_ts,0.432197373042464
Lasso_0.1,0.42942256393277756
SGDRegressor_ts,0.429336682745725
SGDRegressorts,0.42637868246664656
BayesianRidge_ts,0.4260671448420184
Ridge_ts,0.4213542562318476
BayesianRidge,0.42113934650041474
Ridge_0.5_ts,0.4202280466630869
Ridge,0.4167501478204139
Ridge_0.5,0.4156075713625558
Lasso,0.4148109758016405
LinearRegression,0.4142657454610795
ElasticNet_ts,0.33548192522791953
ElasticNet,0.3067600593414547
LinearRegression_ts,-3.783420938929121e+24
