Model,Metric
mlp_ts,-0.46040465088798455
mlp,-0.5061880888698245
ElasticNet_ts,-0.636775791593949
ElasticNet,-0.7402339388829071
SGDRegressor_ts,-1.0214140279692046
BayesianRidge_ts,-1.048679562970154
Ridge_ts,-1.051497185582523
Ridge_0.5_ts,-1.0519716246206046
LinearRegression_ts,-1.0525284403077462
Lasso_0.1_ts,-1.0649924231198475
SGDRegressorts,-1.1650902428817163
BayesianRidge,-1.3005228729191558
Ridge,-1.3015708537302528
Ridge_0.5,-1.301664965561574
LinearRegression,-1.3017583548858587
Lasso_ts,-1.3560562492959092
Lasso_0.1,-1.369764835656036
HistGradientBoosting_ts,-1.4311446159682206
XGBoost_ts,-1.4338400880829716
Lasso,-1.4482875707991634
RandomForest_ts,-1.5763657824549242
XGBoost,-1.6350029475185308
HistGradientBoosting,-1.7051532198856747
GradientBoosting_ts,-1.8499080609566534
RandomForest,-1.9396786558843906
AdaBoost_ts,-2.016672950570393
AdaBoost,-2.0403901209477158
GradientBoosting,-2.177437531106764
